FALSE,ID,Conf,arxiv,similarity,conf_idx
FALSE,0,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,A Causal Framework to Quantify the Robustness of Mathematical Reasoning  with Language Models,99,0
FALSE,1,Annotating Mentions Alone Enables Efficient Domain Adaptation for Coreference Resolution,Mention Annotations Alone Enable Efficient Domain Adaptation for  Coreference Resolution,92,36
FALSE,2,Apollo: A Simple Approach for Adaptive Pretraining of Language Models for Logical Reasoning,APOLLO: A Simple Approach for Adaptive Pretraining of Language Models  for Logical Reasoning,99,39
TRUE,3,Attractive Storyteller: Stylized Visual Storytelling with Unpaired Text,Visual Storytelling,90,47
FALSE,4,Beyond Contrastive Learning: A Variational Generative Model for Multilingual Retrieval,Beyond Contrastive Learning: A Variational Generative Model for  Multilingual Retrieval,99,57
FALSE,5,BITE: Textual Backdoor Attacks with Iterative Trigger Injection,Textual Backdoor Attacks with Iterative Trigger Injection,95,64
FALSE,6,BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of Faithfulness Metrics,BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of  Faithfulness Metrics,99,72
FALSE,7,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical Relation Extraction?,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical  Relation Extraction?,99,76
FALSE,8,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,100,99
FALSE,9,Cold-Start Data Selection for Better Few-shot Language Model Fine-tuning: A Prompt-based Uncertainty Propagation Approach,Cold-Start Data Selection for Few-shot Language Model Fine-tuning: A  Prompt-Based Uncertainty Propagation Approach,97,100
FALSE,10,Continual Contrastive Finetuning Improves Low-Resource Relation Extraction,Continual Contrastive Finetuning Improves Low-Resource Relation  Extraction,99,115
TRUE,11,Continual Knowledge Distillation for Neural Machine Translation,Selective Knowledge Distillation for Neural Machine Translation,90,116
FALSE,12,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing Disconnected Reasoning,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing  Disconnected Reasoning,99,128
FALSE,13,Dialect-robust Evaluation of Generated Text,Dialect-robust Evaluation of Generated Text,100,152
FALSE,14,DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization,DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization,100,164
FALSE,15,DiSCoMAT: Distantly Supervised Composition Extraction from Tables in Materials Science Articles,DiSCoMaT: Distantly Supervised Composition Extraction from Tables in  Materials Science Articles,99,166
FALSE,16,Diverse Demonstrations Improve In-context Compositional Generalization,Diverse Demonstrations Improve In-context Compositional Generalization,100,177
FALSE,17,Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?,Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?,100,180
FALSE,18,Do language models have coherent mental models of everyday things?,Do language models have coherent mental models of everyday things?,100,182
FALSE,19,Improving Long Story Coherence With Detailed Outline Control,DOC: Improving Long Story Coherence With Detailed Outline Control,96,185
TRUE,20,DualGATs: Dual Graph Attention Networks for Emotion Recognition in Conversations,Graph Attention Networks,90,198
FALSE,21,Elaboration-Generating Commonsense Question Answering at Scale,Elaboration-Generating Commonsense Question Answering at Scale,100,208
TRUE,22,Exploring How Generative Adversarial Networks Learn Phonological Representations,Generative Adversarial Networks,90,233
FALSE,23,Extrinsic Evaluation of Machine Translation Metrics,Extrinsic Evaluation of Machine Translation Metrics,100,237
TRUE,24,\(f\)-Divergence Minimization for Sequence-Level Knowledge Distillation,Sequence-Level Knowledge Distillation,90,238
FALSE,25,Few-shot Adaptation Works with UnpredictTable Data,Few-shot Adaptation Works with UnpredicTable Data,99,253
FALSE,26,GanLM: Encoder-Decoder Pre-training with an Auxiliary Discriminator,GanLM: Encoder-Decoder Pre-training with an Auxiliary Discriminator,100,270
FALSE,27,Generic Temporal Reasoning with Differential Analysis and Explanation,Generic Temporal Reasoning with Differential Analysis and Explanation,100,277
FALSE,28,HyPe: Better Pre-trained Language Model Fine-tuning with Hidden Representation Perturbation,HyPe: Better Pre-trained Language Model Fine-tuning with Hidden  Representation Perturbation,99,305
FALSE,29,In-sample Curriculum Learning by Sequence Completion for Natural Language Generation,In-sample Curriculum Learning by Sequence Completion for Natural  Language Generation,99,321
FALSE,30,"KALM: Knowledge-Aware Integration of Local, Document, and Global Contexts for Long Document Understanding"," KALM: Knowledge-Aware Integration of Local, Document, and Global  Contexts for Long Document Understanding",100,342
FALSE,31,Language Detoxification with Attribute-Discriminative Latent Space,Language Detoxification with Attribute-Discriminative Latent Space,100,351
FALSE,32,Learning Action Conditions from Instructional Manuals for Instruction Understanding,Learning Action Conditions from Instructional Manuals for Instruction  Understanding,99,359
FALSE,33,Learning Better Masking for Better Language Model Pre-training,Learning Better Masking for Better Language Model Pre-training,100,361
FALSE,34,Learning to Simulate Natural Language Feedback for Interactive Semantic Parsing,Learning To Simulate,90,371
FALSE,35,_li_Gym: Natural Language Visual Reasoning with Reinforcement Learning,lilGym: Natural Language Visual Reasoning with Reinforcement Learning,99,373
FALSE,36,Limitations of Language Models in Arithmetic and Symbolic Induction,Limitations of Language Models in Arithmetic and Symbolic Induction,100,374
FALSE,37,Log-linear Guardedness and its Implications,Linear Guardedness and its Implications,95,379
FALSE,38,MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages,MASSIVE: A 1M-Example Multilingual Natural Language Understanding  Dataset with 51 Typologically-Diverse Languages,100,385
FALSE,39,Memory-efficient NLLB-200: Language-specific Expert Pruning of a Massively Multilingual Machine Translation Model,Memory-efficient NLLB-200: Language-specific Expert Pruning of a  Massively Multilingual Machine Translation Model,100,395
FALSE,40,Multi-CLS BERT: An Efficient Alternative to Traditional Ensembling,Multi-CLS BERT: An Efficient Alternative to Traditional Ensembling,100,416
FALSE,41,Neural Unsupervised Reconstruction of Protolanguage Word Forms,Neural Unsupervised Reconstruction of Protolanguage Word Forms,100,441
FALSE,42,PeerDA: Data Augmentation via Modeling Peer Relation for Span Identification Tasks,PeerDA: Data Augmentation via Modeling Peer Relation for Span  Identification Tasks,99,478
FALSE,43,Pivotal Role of Language Modeling in Recommender Systems: Enriching Task-specific and Task-agnostic Representation Learning,Pivotal Role of Language Modeling in Recommender Systems: Enriching  Task-specific and Task-agnostic Representation Learning,100,482
FALSE,44,Pruning Pre-trained Language Models Without Fine-Tuning,Pruning Pre-trained Language Models Without Fine-Tuning,100,501
FALSE,45,(QA)\({}^{2}\): Question Answering with Questionable Assumptions,(QA)$^2$: Question Answering with Questionable Assumptions,95,505
FALSE,46,Rethinking the Role of Scale for In-Context Learning: An Interpretability-based Case Study at 66 Billion Scale,Rethinking the Role of Scale for In-Context Learning: An  Interpretability-based Case Study at 66 Billion Scale,100,520
TRUE,47,RetroMAE-2: Duplex Masked Auto-Encoder For Pre-Training Retrieval-Oriented Language Models,RetroMAE v2: Duplex Masked Auto-Encoder For Pre-Training  Retrieval-Oriented Language Models,99,523
FALSE,48,Rev: Information-Theoretic Evaluation of Free-Text Rationales,REV: Information-Theoretic Evaluation of Free-Text Rationales,100,524
TRUE,49,Revisiting Token Dropping Strategy in Efficient BERT Pretraining,Token Dropping for Efficient BERT Pretraining,91,531
FALSE,50,Reward Gaming in Conditional Text Generation,Reward Gaming in Conditional Text Generation,100,532
FALSE,51,Self-Adaptive In-Context Learning: An Information Compression Perspective for In-Context Example Selection and Ordering,Self-adaptive In-context Learning,90,547
FALSE,52,SimLM: Pre-training with Representation Bottleneck for Dense Passage Retrieval,SimLM: Pre-training with Representation Bottleneck for Dense Passage  Retrieval,99,552
FALSE,53,Simplicity Bias in Transformers and their Ability to Learn Sparse Boolean Functions,Simplicity Bias in Transformers and their Ability to Learn Sparse  Boolean Functions,99,555
FALSE,54,SpeechMatrix: A Large-Scale Mined Corpus of Multilingual Speech-to-Speech Translations,SpeechMatrix: A Large-Scale Mined Corpus of Multilingual  Speech-to-Speech Translations,99,567
FALSE,55,Summary-Oriented Vision Modeling for Multimodal Abstractive Summarization,Summary-Oriented Vision Modeling for Multimodal Abstractive  Summarization,99,573
FALSE,56,Tailor: A Soft-Prompt-Based Approach to Attribute-Based Controlled Text Generation,Tailor: A Prompt-Based Approach to Attribute-Based Controlled Text  Generation,96,581
FALSE,57,The KITMUS Test: Evaluating Knowledge Integration from Multiple Sources,The KITMUS Test: Evaluating Knowledge Integration from Multiple Sources  in Natural Language Understanding Systems,90,597
TRUE,58,Towards Understanding and Improving Knowledge Distillation for Neural Machine Translation,Understanding and Improving Knowledge Distillation,90,615
FALSE,59,Towards Understanding Chain-of-Thought Prompting: An Empirical Study of What Matters,Towards Understanding Chain-of-Thought Prompting: An Empirical Study of  What Matters,99,616
TRUE,60,UnitY: Two-pass Direct Speech-to-speech Translation with Discrete Units,Direct speech-to-speech translation with discrete units,95,644
FALSE,61,Unsupervised Discontinuous Constituency Parsing with Mildly Context-Sensitive Grammars,Unsupervised Discontinuous Constituency Parsing with Mildly  Context-Sensitive Grammars,99,646
FALSE,62,Visually-augmented Pretrained Language Models for NLP Tasks without Images,Visually-augmented pretrained language models for NLP tasks without  images,99,659
FALSE,63,WACO: Word-Aligned Contrastive Learning for Speech Translation,WACO: Word-Aligned Contrastive Learning for Speech Translation,100,661
FALSE,64,Wukong-Reader: Multi-modal Pre-training for Fine-grained Visual Document Understanding,Wukong-Reader: Multi-modal Pre-training for Fine-grained Visual Document  Understanding,99,685
TRUE,65,XSemPLR: Cross-Lingual Semantic Parsing in Multiple Natural Languages and Meaning Representations,Cross-lingual Semantic Parsing,90,687
FALSE,66,3D-Aware Object Goal Navigation via Simultaneous Exploration and Identification,3D-Aware Object Goal Navigation via Simultaneous Exploration and  Identification,99,699
FALSE,67,3D Highlighter: Localizing Regions on 3D Shapes via Text Descriptions,3D Highlighter: Localizing Regions on 3D Shapes via Text Descriptions,100,703
TRUE,68,A Generalized Framework for Video Instance Segmentation,Video Instance Segmentation,90,722
FALSE,69,A Light Touch Approach to Teaching Transformers Multi-view Geometry,A Light Touch Approach to Teaching Transformers Multi-view Geometry,100,726
FALSE,70,A New Path: Scaling Vision-and-Language Navigation with Synthetic Instructions and Imitation Learning,A New Path: Scaling Vision-and-Language Navigation with Synthetic  Instructions and Imitation Learning,100,733
FALSE,71,A Practical Stereo Depth System for Smart Glasses,A Practical Stereo Depth System for Smart Glasses,100,734
FALSE,72,ACSeg: Adaptive Conceptualization for Unsupervised Semantic Segmentation,ACSeg: Adaptive Conceptualization for Unsupervised Semantic Segmentation,100,755
TRUE,73,Adversarial Counterfactual Visual Explanations,Counterfactual Visual Explanations,95,777
TRUE,74,Adversarially Robust Neural Architecture Search for Graph Neural Networks,Neural Architecture Search in Graph Neural Networks,92,781
FALSE,75,AeDet: Azimuth-invariant Multi-view 3D Object Detection,AeDet: Azimuth-invariant Multi-view 3D Object Detection,100,782
FALSE,76,All in One: Exploring Unified Video-Language Pre-training,All in One: Exploring Unified Video-Language Pre-training,100,794
FALSE,77,An Empirical Study of End-to-End Video-Language Transformers with Masked Visual Modeling,An Empirical Study of End-to-End Video-Language Transformers with Masked  Visual Modeling,99,803
TRUE,78,An In-depth Exploration of Person Re-identification and Gait Recognition in Cloth-Changing Conditions,Person Re-Identification,90,806
TRUE,79,Architectural Backdoors in Neural Networks,Neural Architectural Backdoors,95,815
FALSE,80,Are Deep Neural Networks SMARTer than Second Graders?,Are Deep Neural Networks SMARTer than Second Graders?,100,820
FALSE,81,Augmentation Matters: A Simple-yet-Effective Approach to Semi-supervised Semantic Segmentation,Augmentation Matters: A Simple-yet-Effective Approach to Semi-supervised  Semantic Segmentation,99,832
FALSE,82,BAD-NeRF: Bundle Adjusted Deblur Neural Radiance Fields,BAD-NeRF: Bundle Adjusted Deblur Neural Radiance Fields,100,852
FALSE,83,Bayesian posterior approximation with stochastic ensembles,Bayesian posterior approximation with stochastic ensembles,100,858
FALSE,84,Bias Mimicking: A Simple Sampling Approach for Bias Mitigation,Bias Mimicking: A Simple Sampling Approach for Bias Mitigation,100,881
FALSE,85,BKinD-3D: Self-Supervised 3D Keypoint Discovery from Multi-View Videos,BKinD-3D: Self-Supervised 3D Keypoint Discovery from Multi-View Videos,100,895
FALSE,86,Building Re,Building Resilient Cloud Over Unreliable Commodity Infrastructure,90,928
TRUE,87,Burstormer: Burst Image Restoration and Enhancement Transformer,Burst Image Restoration and Enhancement,90,931
FALSE,88,Can't Steal? Cont-Steal! Contrastive Stealing Attacks Against Image Encoders,Can't Steal? Cont-Steal! Contrastive Stealing Attacks Against Image  Encoders,99,937
FALSE,89,Canonical Fields: Self-Supervised Learning of Pose-Canonicalized Neural Fields,Canonical Fields: Self-Supervised Learning of Pose-Canonicalized Neural  Fields,99,938
TRUE,90,Center Focusing Network for Real-Time LiDAR Panoptic Segmentation,Panoptic Segmentation,90,954
FALSE,91,CiaoSR: Continuous Implicit Attention-in-Attention Network for Arbitrary-Scale Image Super-Resolution,CiaoSR: Continuous Implicit Attention-in-Attention Network for  Arbitrary-Scale Image Super-Resolution,100,959
FALSE,92,CLIPPO: Image-and-Language Understanding from Pixels Only,Image-and-Language Understanding from Pixels Only,95,980
FALSE,93,Cloud-Device Collaborative Adaptation to Continual Changing Environments in the Real-world,Cloud-Device Collaborative Adaptation to Continual Changing Environments  in the Real-world,99,984
FALSE,94,Clover \(\circledR\): Towards A Unified Video-Language Alignment and Fusion Model,Clover: Towards A Unified Video-Language Alignment and Fusion Model,95,985
FALSE,95,Co-training \(2^{l}\) Submodels for Visual Recognition,Co-training $2^L$ Submodels for Visual Recognition,96,990
FALSE,96,Conjugate Product Graphs for Globally Optimal 2D-3D Shape Matching,Conjugate Product Graphs for Globally Optimal 2D-3D Shape Matching,100,1019
FALSE,97,Connecting the Dots: Floorplan Reconstruction Using Two-Level Queries,Connecting the Dots: Floorplan Reconstruction Using Two-Level Queries,100,1020
FALSE,98,ConStruct-VL: Data-Free Continual Structured VL Concepts Learning+,ConStruct-VL: Data-Free Continual Structured VL Concepts Learning,100,1026
TRUE,99,Context-aware Pretraining for Efficient Blind Image Decomposition,Blind Image Decomposition,90,1030
FALSE,100,Correlational Image Modeling for Self-Supervised Visual Pre-Training,Corrupted Image Modeling for Self-Supervised Visual Pre-Training,91,1050
FALSE,101,CXTrack: Improving 3D Point Cloud Tracking with Contextual Information,CXTrack: Improving 3D Point Cloud Tracking with Contextual Information,100,1071
FALSE,102,Data-driven Feature Tracking for Event Cameras,Data-driven Feature Tracking for Event Cameras,100,1081
TRUE,103,Deep Random Projector: Accelerated Deep Image Prior,Deep Image Prior,90,1116
TRUE,104,Deep Stereo Video Inpainting,Deep Video Inpainting,95,1117
FALSE,105,DeepLSD: Line Segment Detection and Refinement with Deep Image Gradients,DeepLSD: Line Segment Detection and Refinement with Deep Image Gradients,100,1118
FALSE,106,DeepMapping2: Self-Supervised Large-Scale LiDAR Map Optimization,DeepMapping2: Self-Supervised Large-Scale LiDAR Map Optimization,100,1120
TRUE,107,Defending Against Patch-based Backdoor Attacks on Self-Supervised Learning,Backdoor Attacks on Self-Supervised Learning,90,1124
FALSE,108,DeSTSeg: Segmentation Guided Denoising Student-Teacher for Anomaly Detection,DeSTSeg: Segmentation Guided Denoising Student-Teacher for Anomaly  Detection,99,1141
FALSE,109,DiffPose: Toward More Reliable 3D Pose Estimation,DiffPose: Toward More Reliable 3D Pose Estimation,100,1158
FALSE,110,DiffRF: Rendering-Guided 3D Radiance Field Diffusion,DiffRF: Rendering-Guided 3D Radiance Field Diffusion,100,1159
FALSE,111,Dimensionality-Varying Diffusion Process,Dimensionality-Varying Diffusion Process,100,1170
FALSE,112,DisCoScene: Spatially Disentangled Generative Radiance Fields for Controllable 3D-aware Scene Synthesis,DisCoScene: Spatially Disentangled Generative Radiance Fields for  Controllable 3D-aware Scene Synthesis,100,1177
FALSE,113,Distilling Vision-Language Pre-training to Collaborate with Weakly-Supervised Temporal Action Localization,Distilling Vision-Language Pre-training to Collaborate with  Weakly-Supervised Temporal Action Localization,100,1190
TRUE,114,Diverse Embedding Expansion Network and Low-Light Cross-Modality Benchmark for Visible-Infrared Person Re-identification,Person Re-Identification,90,1195
FALSE,115,DKM: Dense Kernelized Feature Matching for Geometry Estimation,DKM: Dense Kernelized Feature Matching for Geometry Estimation,100,1200
FALSE,116,Doubly Right Object Recognition: A _Why_ Prompt for Visual Rationales,Doubly Right Object Recognition: A Why Prompt for Visual Rationales,99,1208
FALSE,117,DP-NeRF: Deblurred Neural Radiance Field with Physical Scene Priors,DP-NeRF: Deblurred Neural Radiance Field with Physical Scene Priors,100,1209
TRUE,118,DSFNet: Dual Space Fusion Network for Occlusion-Robust 3D Dense Face Alignment,Dense Face Alignment,90,1218
TRUE,119,Dynamic Conceptual Contrastive Learning for Generalized Category Discovery,Generalized Category Discovery,90,1230
FALSE,120,Dynamic Focus-aware Positional Queries for Semantic Segmentation,Dynamic Focus-aware Positional Queries for Semantic Segmentation,100,1231
FALSE,121,DynIBaR: Neural Dynamic Image-Based Rendering,DynIBaR: Neural Dynamic Image-Based Rendering,100,1240
FALSE,122,EDICT: Exact Diffusion Inversion via Coupled Transformations,EDICT: Exact Diffusion Inversion via Coupled Transformations,100,1249
FALSE,123,Efficient Frequency Domain-based Transformers for High-Quality Image Deblurring,Efficient Frequency Domain-based Transformers for High-Quality Image  Deblurring,99,1254
FALSE,124,Efficient Second-Order Plane Adjustment,Efficient Second-Order Plane Adjustment,100,1263
FALSE,125,Egocentric Video Task Translation,Egocentric Video Task Translation,100,1271
FALSE,126,Eva: Exploring the Limits of Masked Visual Representation Learning at Scale,EVA: Exploring the Limits of Masked Visual Representation Learning at  Scale,99,1292
FALSE,127,EVAL: Explainable Video Anomaly Localization,EVAL: Explainable Video Anomaly Localization,100,1295
TRUE,128,Event-guided Person Re-Identification via Sparse-Dense Complementary Learning,Person Re-Identification,90,1300
FALSE,129,EventNeRF: Neural Radiance Fields from a Single Colour Event Camera,EventNeRF: Neural Radiance Fields from a Single Colour Event Camera,100,1301
FALSE,130,Executing your Commands via Motion Diffusion in Latent Space,Executing your Commands via Motion Diffusion in Latent Space,100,1305
FALSE,131,Explicit Boundary Guided Semi-Push-Pull Contrastive Learning for Supervised Anomaly Detection,Explicit Boundary Guided Semi-Push-Pull Contrastive Learning for Better  Anomaly Detection,93,1309
FALSE,132,Exploiting Completeness and Uncertainty of Pseudo Labels for Weakly Supervised Video Anomaly Detection,Exploiting Completeness and Uncertainty of Pseudo Labels for Weakly  Supervised Video Anomaly Detection,100,1311
FALSE,133,Exploring the Relationship between Architectural Design and Adversarially Robust Generalization,Exploring the Relationship between Architecture and Adversarially Robust  Generalization,95,1322
FALSE,134,FeatER: An Efficient Network for Human Reconstruction via Feature Map-Based TransformER,FeatER: An Efficient Network for Human Reconstruction via Feature  Map-Based TransformER,99,1337
FALSE,135,FeatureBooster: Boosting Feature Descriptors with a Lightweight Neural Network,FeatureBooster: Boosting Feature Descriptors with a Lightweight Neural  Network,99,1343
TRUE,136,Few-Shot Referring Relationships in Videos,Referring Relationships,90,1354
FALSE,137,Fine-Grained Face Swapping via Regional GAN Inversion,Fine-Grained Face Swapping via Regional GAN Inversion,100,1361
TRUE,138,Fine-tuned CLIP Models are Efficient Video Learners,Frozen CLIP Models are Efficient Video Learners,90,1363
FALSE,139,FLAG3D: A 3D Fitness Activity Dataset with Language Instruction,FLAG3D: A 3D Fitness Activity Dataset with Language Instruction,100,1367
FALSE,140,FLEX: Full-Body Grasping Without Full-Body Grasps,FLEX: Full-Body Grasping Without Full-Body Grasps,100,1369
FALSE,141,FlexiViT: One Model for All Patch Sizes,FlexiViT: One Model for All Patch Sizes,100,1370
TRUE,142,GALIP: Generative Adversarial CLIPs for Text-to-Image Synthesis,Generative Adversarial Text to Image Synthesis,95,1397
TRUE,143,Gaussian Label Distribution Learning for Spherical Image Object Detection,Label Distribution Learning,90,1405
TRUE,144,Generalized Relation Modeling for Transformer Tracking,Transformer Tracking,90,1415
FALSE,145,Generative Bias for Robust Visual Question Answering,Generative Bias for Visual Question Answering,95,1424
FALSE,146,GlassesGAN: Eyewear Personalization using Synthetic Appearance Discovery and Targeted Subspace Modeling,GlassesGAN: Eyewear Personalization using Synthetic Appearance Discovery  and Targeted Subspace Modeling,100,1441
FALSE,147,GLeaD: Improving GANs with A Generator-Leading Task,GLeaD: Improving GANs with A Generator-Leading Task,100,1442
TRUE,148,Good is Bad: Causality Inspired Cloth-debiasing for Cloth-changing Person Re-identification,Person Re-Identification,90,1450
FALSE,149,HandsOff: Labeled Dataset Generation With No Additional Human Annotations,HandsOff: Labeled Dataset Generation With No Additional Human  Annotations,99,1476
FALSE,150,HARP: Personalized Hand Reconstruction from a Monocular RGB Video,HARP: Personalized Hand Reconstruction from a Monocular RGB Video,100,1483
FALSE,151,Hi-LASSIE: High-Fidelity Articulated Shape and Skeleton Discovery from Sparse Image Ensemble,Hi-LASSIE: High-Fidelity Articulated Shape and Skeleton Discovery from  Sparse Image Ensemble,99,1490
FALSE,152,High-Fidelity Guided Image Synthesis with Latent Diffusion Models,High-Fidelity Guided Image Synthesis with Latent Diffusion Models,100,1515
FALSE,153,High-Res Facial Appearance Capture from Polarized Smartphone Images,High-Res Facial Appearance Capture from Polarized Smartphone Images,100,1517
FALSE,154,HouseDiffusion: Vector Floorplan Generation via a Diffusion Model with Discrete and Continuous Denoising,HouseDiffusion: Vector Floorplan Generation via a Diffusion Model with  Discrete and Continuous Denoising,100,1522
FALSE,155,HumanGen: Generating Human Radiance Fields with Explicit Priors,HumanGen: Generating Human Radiance Fields with Explicit Priors,100,1537
FALSE,156,I2MVFormer: Large Language Model Generated Multi-View Document Supervision for Zero-Shot Image Classification,I2MVFormer: Large Language Model Generated Multi-View Document  Supervision for Zero-Shot Image Classification,100,1550
FALSE,157,Imagen Editor and EditBench: Advancing and Evaluating Text-Guided Image Inpainting,Imagen Editor and EditBench: Advancing and Evaluating Text-Guided Image  Inpainting,99,1561
FALSE,158,Images Speak in Images: A Generalist Painter for In-Context Visual Learning,Images Speak in Images: A Generalist Painter for In-Context Visual  Learning,99,1562
FALSE,159,Image: Text-Based Real Image Editing with Diffusion Models,Imagic: Text-Based Real Image Editing with Diffusion Models,97,1563
FALSE,160,Imitation Learning as State Matching via Differentiable Physics,Imitation Learning via Differentiable Physics,95,1564
FALSE,161,Improving Commonsense in Vision-Language Models via Knowledge Graph Riddles,Improving Commonsense in Vision-Language Models via Knowledge Graph  Riddles,99,1576
FALSE,162,Improving Cross-Modal Retrieval with Set of Diverse Embeddings,Improving Cross-Modal Retrieval with Set of Diverse Embeddings,100,1577
FALSE,163,Improving Visual Grounding by Encouraging Consistent Gradient-based Explanations,Improving Visual Grounding by Encouraging Consistent Gradient-based  Explanations,99,1589
FALSE,164,Improving Zero-shot Generalization and Robustness of Multi-modal Models,Improving Zero-shot Generalization and Robustness of Multi-modal Models,100,1591
FALSE,165,Instance Relation Graph Guided Source-Free Domain Adaptive Object Detection,Instance Relation Graph Guided Source-Free Domain Adaptive Object  Detection,99,1603
FALSE,166,Instance-specific and Model-adaptive Supervision for Semi-supervised Semantic Segmentation,Instance-specific and Model-adaptive Supervision for Semi-supervised  Semantic Segmentation,99,1604
FALSE,167,Instant Volumetric Head Avatars,Instant Volumetric Head Avatars,100,1608
FALSE,168,Integrally Pre-Trained Transformer Pyramid Networks,Integrally Pre-Trained Transformer Pyramid Networks,100,1612
FALSE,169,Interactive Segmentation of Radiance Fields,Interactive Segmentation of Radiance Fields,100,1616
